hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,lead_time_category,guest_type,estimated_revenue
City Hotel,1,175,2016,August,33,10,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,0,Canceled,01/03/2016,90+ days,Couple,397.8
City Hotel,1,26,2017,May,21,22,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,128.0,0,0,Canceled,26/04/2017,8-30 days,Couple,256.0
City Hotel,1,360,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,01/01/2015,90+ days,Couple,124.0
Resort Hotel,1,378,2016,November,45,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.0,,0,Transient,46.0,0,0,Canceled,18/10/2016,90+ days,Couple,92.0
City Hotel,0,32,2016,January,5,24,2,1,2,0.0,0,BB,ARG,Corporate,Corporate,0,0,0,A,A,1,No Deposit,38.0,,15,Transient-Party,64.0,0,0,Check-Out,27/01/2016,31-90 days,Couple,192.0
Resort Hotel,0,165,2015,December,53,30,0,4,1,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,,122,Transient-Party,0.0,0,0,Check-Out,03/01/2016,90+ days,Solo,0.0
City Hotel,0,4,2015,August,35,25,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,29/08/2015,0-7 days,Couple,248.0
City Hotel,1,179,2016,July,27,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,10/05/2016,90+ days,Couple,130.0
City Hotel,0,349,2016,October,41,4,1,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,162,Transient-Party,123.33,0,0,Check-Out,10/10/2016,90+ days,Couple,739.98
City Hotel,0,47,2016,February,8,18,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,90.3,0,0,Check-Out,21/02/2016,31-90 days,Couple,270.9
City Hotel,0,237,2015,September,38,14,1,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,80.75,0,0,Check-Out,17/09/2015,90+ days,Solo,242.25
City Hotel,0,31,2016,September,40,27,0,1,2,0.0,0,BB,UGA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,126.0,0,0,Check-Out,28/09/2016,31-90 days,Couple,126.0
City Hotel,0,158,2016,July,27,1,1,2,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,168.3,0,1,Check-Out,04/07/2016,90+ days,Family,504.90000000000003
City Hotel,0,25,2016,December,51,13,0,4,1,0.0,0,BB,EST,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,79.9,0,1,Check-Out,17/12/2016,8-30 days,Solo,319.6
City Hotel,0,386,2016,October,44,23,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,25/10/2016,90+ days,Couple,230.0
Resort Hotel,0,10,2016,September,38,13,0,2,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,109.0,0,0,Check-Out,15/09/2016,8-30 days,Couple,218.0
City Hotel,0,76,2016,March,13,20,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,110.15,0,1,Check-Out,25/03/2016,31-90 days,Couple,550.75
City Hotel,0,42,2017,April,16,21,1,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.67,0,2,Check-Out,24/04/2017,31-90 days,Couple,470.01
Resort Hotel,1,210,2016,August,35,22,3,8,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,192.73,0,2,Canceled,15/02/2016,90+ days,Couple,2120.0299999999997
City Hotel,0,4,2016,June,27,26,2,0,1,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,113.0,0,1,Check-Out,28/06/2016,0-7 days,Solo,226.0
City Hotel,0,33,2016,May,23,29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,85.5,0,0,Check-Out,01/06/2016,31-90 days,Couple,256.5
City Hotel,0,7,2016,December,51,17,1,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.0,0,1,Check-Out,19/12/2016,0-7 days,Couple,156.0
City Hotel,0,21,2015,December,51,17,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient-Party,65.0,0,0,Check-Out,19/12/2015,8-30 days,Solo,130.0
City Hotel,1,160,2015,December,53,30,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,111,Transient-Party,70.0,0,0,Canceled,23/12/2015,90+ days,Couple,210.0
Resort Hotel,0,28,2016,May,21,19,2,5,3,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,79.9,0,2,Check-Out,26/05/2016,8-30 days,Group,559.3000000000001
City Hotel,1,274,2015,July,29,18,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,06/07/2015,90+ days,Couple,248.0
City Hotel,1,155,2017,July,29,17,1,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,1,Canceled,08/03/2017,90+ days,Couple,178.2
Resort Hotel,1,48,2016,September,40,30,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,107.0,0,0,Canceled,14/08/2016,31-90 days,Couple,535.0
Resort Hotel,0,25,2016,January,3,14,0,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,79.0,0,1,Check-Out,16/01/2016,8-30 days,Family,158.0
Resort Hotel,0,154,2016,July,29,11,1,2,2,0.0,0,BB,LUX,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,327.0,,0,Transient,64.8,0,0,Check-Out,14/07/2016,90+ days,Couple,194.39999999999998
City Hotel,1,1,2015,December,53,29,0,4,2,0.0,1,BB,PRT,Groups,TA/TO,0,0,0,B,B,2,No Deposit,29.0,,0,Transient,72.5,0,2,Canceled,29/12/2015,0-7 days,Couple,290.0
City Hotel,1,364,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,06/07/2015,90+ days,Couple,203.0
City Hotel,0,18,2016,December,51,11,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,378.0,,0,Transient-Party,80.0,0,0,Check-Out,12/12/2016,8-30 days,Couple,80.0
City Hotel,1,21,2017,January,1,2,1,3,2,0.0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.1,0,2,Canceled,16/12/2016,8-30 days,Couple,360.4
City Hotel,1,15,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,95.0,0,0,Canceled,02/02/2017,8-30 days,Couple,190.0
City Hotel,0,22,2017,March,11,16,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,68.0,0,1,Check-Out,23/03/2017,8-30 days,Couple,476.0
Resort Hotel,1,80,2017,August,34,26,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,135.0,0,1,Canceled,15/07/2017,31-90 days,Couple,540.0
City Hotel,1,25,2015,December,50,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,90.0,0,0,Canceled,17/11/2015,8-30 days,Solo,180.0
Resort Hotel,0,164,2015,November,46,9,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,61.2,1,0,Check-Out,16/11/2015,90+ days,Couple,428.40000000000003
City Hotel,0,69,2016,May,20,14,2,1,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,159.3,0,1,Check-Out,17/05/2016,31-90 days,Group,477.90000000000003
Resort Hotel,0,3,2016,May,21,20,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240.0,,0,Transient,89.0,0,0,Check-Out,22/05/2016,0-7 days,Couple,178.0
Resort Hotel,1,206,2016,March,13,21,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,42.69,0,1,Canceled,31/08/2015,90+ days,Couple,298.83
City Hotel,1,157,2017,May,18,1,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,130.0,0,0,Canceled,25/11/2016,90+ days,Couple,520.0
City Hotel,0,30,2016,May,21,21,2,2,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient,133.58,0,0,Check-Out,25/05/2016,8-30 days,Family,534.32
City Hotel,0,1,2017,May,19,9,0,1,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,95.0,0,0,Check-Out,10/05/2017,0-7 days,Solo,95.0
Resort Hotel,0,32,2016,April,17,19,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,38.22,0,0,Check-Out,26/04/2016,31-90 days,Couple,267.53999999999996
Resort Hotel,0,53,2016,June,24,7,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,129.0,0,1,Check-Out,09/06/2016,31-90 days,Couple,258.0
Resort Hotel,1,246,2015,September,36,5,2,5,2,0.0,0,BB,,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,96.0,,0,Transient-Party,58.95,0,0,Canceled,17/06/2015,90+ days,Couple,412.65000000000003
City Hotel,1,304,2016,November,45,3,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,89.0,0,0,Canceled,01/02/2016,90+ days,Couple,267.0
City Hotel,0,127,2017,July,30,25,0,3,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16.0,,0,Transient,98.1,0,0,Check-Out,28/07/2017,90+ days,Couple,294.29999999999995
Resort Hotel,0,0,2017,January,3,17,0,1,1,0.0,0,BB,ESP,Direct,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient,57.0,0,0,Check-Out,18/01/2017,,Solo,57.0
City Hotel,1,113,2016,September,37,7,1,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,118.8,0,0,Canceled,23/05/2016,90+ days,Couple,594.0
City Hotel,0,272,2017,July,28,12,0,3,2,2.0,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9.0,,0,Transient-Party,179.1,0,2,Check-Out,15/07/2017,90+ days,Family,537.3
City Hotel,1,11,2016,November,45,5,0,1,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,150.0,0,1,Canceled,28/10/2016,8-30 days,Family,150.0
City Hotel,1,98,2015,November,48,23,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,70.0,0,0,No-Show,23/11/2015,90+ days,Solo,210.0
City Hotel,1,292,2015,August,32,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,02/07/2015,90+ days,Couple,124.0
City Hotel,0,16,2016,December,50,4,2,0,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.8,0,1,Check-Out,06/12/2016,8-30 days,Family,237.6
City Hotel,0,70,2016,April,17,22,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.33,0,0,Check-Out,26/04/2016,31-90 days,Couple,389.32
Resort Hotel,1,49,2015,July,30,20,3,6,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,111.2,0,0,Canceled,01/06/2015,31-90 days,Couple,1000.8000000000001
City Hotel,1,379,2015,October,44,31,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,23/07/2015,90+ days,Couple,124.0
Resort Hotel,1,289,2017,July,30,25,0,4,2,1.0,0,BB,AUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,172.8,0,0,Canceled,19/04/2017,90+ days,Family,691.2
Resort Hotel,1,108,2016,April,18,29,2,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,84.0,0,0,Canceled,12/02/2016,90+ days,Couple,336.0
Resort Hotel,0,128,2016,December,50,8,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,36.04,0,2,Check-Out,11/12/2016,90+ days,Couple,108.12
Resort Hotel,0,18,2016,April,15,9,2,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,33.3,0,0,Check-Out,14/04/2016,8-30 days,Solo,166.5
Resort Hotel,1,46,2017,August,32,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,261.0,,0,Transient,212.0,0,0,Canceled,12/07/2017,31-90 days,Couple,1484.0
City Hotel,0,4,2015,August,33,11,0,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,90.0,0,2,Check-Out,16/08/2015,0-7 days,Couple,450.0
City Hotel,1,332,2017,April,16,22,1,1,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,0,Canceled,07/06/2016,90+ days,Family,250.2
City Hotel,0,28,2017,February,7,13,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,16/02/2017,8-30 days,Couple,225.0
Resort Hotel,0,1,2015,October,42,13,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,66.0,0,1,Check-Out,14/10/2015,0-7 days,Couple,66.0
City Hotel,0,53,2015,October,41,9,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,94.5,0,0,Check-Out,12/10/2015,31-90 days,Couple,283.5
Resort Hotel,1,260,2015,December,52,20,4,9,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,47.54,0,1,Canceled,24/08/2015,90+ days,Solo,618.02
Resort Hotel,0,166,2016,August,35,27,2,2,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient-Party,100.8,0,0,Check-Out,31/08/2016,90+ days,Solo,403.2
City Hotel,0,76,2017,July,29,16,2,3,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,0,Check-Out,21/07/2017,31-90 days,Couple,540.0
City Hotel,0,1,2015,August,33,9,1,0,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,153.0,0,2,Check-Out,10/08/2015,0-7 days,Family,153.0
City Hotel,0,172,2017,April,15,13,0,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,153.0,0,2,Check-Out,16/04/2017,90+ days,Family,459.0
City Hotel,0,2,2016,March,13,20,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient-Party,85.0,0,0,Check-Out,26/03/2016,0-7 days,Couple,510.0
Resort Hotel,0,4,2017,June,23,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,146.0,,0,Transient,108.0,0,2,Check-Out,09/06/2017,0-7 days,Solo,324.0
City Hotel,0,175,2017,August,35,31,1,3,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42.0,,0,Transient,86.85,0,2,Check-Out,04/09/2017,90+ days,Couple,347.4
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,03/07/2015,90+ days,Solo,560.0
Resort Hotel,0,2,2015,October,41,9,0,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,1,A,D,0,No Deposit,,86.0,0,Transient,48.0,0,0,Check-Out,10/10/2015,0-7 days,Solo,48.0
Resort Hotel,0,8,2015,July,28,7,0,4,3,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,,0,Transient,193.0,0,1,Check-Out,11/07/2015,8-30 days,Group,772.0
Resort Hotel,1,468,2016,May,20,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249.0,,0,Transient-Party,67.0,0,0,Canceled,30/07/2015,90+ days,Couple,134.0
Resort Hotel,0,36,2016,June,24,9,0,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241.0,,0,Transient,153.03,1,1,Check-Out,12/06/2016,31-90 days,Family,459.09000000000003
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,04/09/2015,90+ days,Couple,188.39999999999998
City Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,20,Transient,75.0,0,0,Canceled,03/02/2016,90+ days,Solo,150.0
City Hotel,0,50,2016,April,16,12,0,3,2,1.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,164.25,0,2,Check-Out,15/04/2016,31-90 days,Family,492.75
City Hotel,0,32,2016,October,43,22,2,5,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,118.0,0,2,Check-Out,29/10/2016,31-90 days,Couple,826.0
City Hotel,1,19,2015,October,41,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,80.0,0,0,Canceled,17/09/2015,8-30 days,Solo,240.0
City Hotel,0,61,2016,April,18,30,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,85.0,,0,Transient,89.75,0,1,Check-Out,02/05/2016,31-90 days,Couple,179.5
City Hotel,0,297,2017,July,29,21,2,2,2,1.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,102.1,0,0,Check-Out,25/07/2017,90+ days,Family,408.4
City Hotel,0,131,2017,June,23,8,0,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,144.0,0,1,Check-Out,11/06/2017,90+ days,Couple,432.0
Resort Hotel,0,228,2016,September,37,5,6,15,2,0.0,0,HB,DEU,Direct,Direct,0,0,1,D,D,0,No Deposit,,,0,Transient,88.0,0,1,Check-Out,26/09/2016,90+ days,Couple,1848.0
City Hotel,1,330,2016,June,23,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,21/10/2015,90+ days,Couple,124.0
City Hotel,1,53,2016,May,21,18,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,0,Canceled,28/03/2016,31-90 days,Couple,253.8
